participant,profession,age,leading_hand,sex,languages,education
cf31cba8-3897-4cfa-ae94-616ea820c699,Филлолог,26,правая,женщина,русский,бакалавриат
5ea54d6e-89f8-4d06-ad53-41ffe8554eda,агроном,42,правая,женщина,украинский,магистратура
53cb90fa-4e12-42a9-b99f-c0abc9e47d9c,инженер,41,правая,мужчина,русский,аспирантура
2efacd67-fa93-44d3-bbc1-354c90716aba,экономист,19,правая,мужчина,русский,средняя школа
f88cd01d-766d-4e75-aedf-979e0d198648,биолог,25,левая,женщина,русский,магистратура
96b3fe4c-1e95-44ce-8432-80747a19e50b,инженер,41,правая,мужчина,русский,аспирантура
094f40a3-d69b-4848-b42b-e524b1a97475,Охранник,49,правая,мужчина,Русский,средняя школа
1fec960d-a412-46c1-b855-c8c8bd5cfb66,Картограф,23,правая,женщина,Русский,школа
13d8ccc5-0efa-409f-b912-1ee314ea77ad,Системный инженер,32,правая,мужчина,Русский,специалитет
6c0c04da-549d-42f0-970c-73c2cedc89ea,Бухгалтерия,31,правая,женщина,Русский,специалитет
fc0f6d9d-5f76-44ce-873e-e0b253fc8209,инженер,39,правая,женщина,русский,специалитет
cbc1fd26-8154-42f0-be8e-ee580fbe8257,сурдопедагог,54,правая,женщина,русский,специалитет
39e866b5-fe16-4fa0-9e98-aff91aa77e0a,финансист,24,правая,женщина,"русский, украинский",бакалавриат
e01a1ff5-9b71-4102-9213-58c15b8789b5,инженер,29,правая,женщина,русский,специалитет
03740a6d-22cd-4c24-acdd-86335bb2abc7,Бухгалтер,19,левая,женщина,"Українська,Русский",специалитет
72c4a156-0830-4b3c-aec6-1ac6e0ad14f1,Картограф,23,правая,женщина,Русский,школа
59602190-a056-4684-92e9-d0ba937d293c,математик,38,правая,женщина,русский,специалитет
094a73bd-1210-484d-9a3b-62b562023d97,химик,22,правая,мужчина,русский,бакалавриат
6908f191-a205-4274-b8cc-036c30e13e92,Юрист,27,правая,женщина,"Русский, Украинский",специалитет
efa849d5-4bdc-44dc-85c8-4b6da1dfeaa3,повар,25,правая,женщина,русский,бакалавриат
a288c2a7-9878-4b16-ad54-5dd9eabc8671,менеджер,28,левая,женщина,русский,специалитет
f3f18ac1-2693-4d2c-ae3a-73d8ebae6800,менеджер,27,правая,женщина,русский,бакалавриат
a9315d31-62cb-4fe6-8a36-e3c0259e024e,продовец,36,правая,женщина,русский,школа
525ad215-2b95-44d9-a3cc-1ceb2d341ef7,Судоводитель,20,правая,мужчина,Русский,специалитет
712dcd6e-0f24-4ea0-a814-d66c43a180dd,Инженер,25,правая,женщина,"Русский, украинский",магистратура
258da753-85cc-4800-bd38-16d35e37d52e,Психолог,32,правая,женщина,Русский,магистратура
2e5750aa-f1a6-475c-b3d4-e0a67769ee84,Продавец,36,правая,мужчина,Русский,специалитет
f6916826-6876-4694-b7e0-e747116916f0,инженер,25,левая,женщина,русский,магистратура
b83057d4-1121-4bb9-bf9c-7181257c5c27,военнослужащий,35,правая,мужчина,русский,бакалавриат
2b5c6490-f470-4713-883c-166bce377d18,"инженер, менеджер",51,правая,женщина,русский,специалитет
de6d7a04-8e71-41d5-a1d0-869577e3da58,бухгалтер,41,правая,женщина,русский,бакалавриат
b696197f-7a7f-4ffa-833a-cc669694457d,Специалист в социальной сфере,22,правая,мужчина,Русский,магистратура
149fce1b-fd72-4b4b-bf1d-352048a10611,инженер,39,правая,женщина,русский,специалитет
f8f7eac7-0026-4321-9c9b-b69855c44b2f,Инженер,32,правая,мужчина,Русский,специалитет
b70e5ff9-14ef-4474-8edd-97c0437cf259,финансист,28,правая,женщина,"русский, украинский",магистратура
f70f63fa-a5ad-44bf-8521-a5c05ef28431,Бухгалтер,19,левая,женщина,"Українська,Русский",специалитет
95ec8569-5183-4676-9cc9-a6a0fa98f959,кабельщик,26,правая,мужчина,русский,специалитет
c7251187-088c-4d8f-871c-7e0483c92260,Хореограф,32,правая,мужчина,Русский,магистратура
565465f8-e7ed-4ae2-b58d-23487014ec13,инженер,28,правая,женщина,русский,специалитет
860ebf41-db08-4355-8616-a3e62ff810a9,кабельщик,26,правая,мужчина,русский,специалитет
80d26eaa-b5e0-4a19-9a38-23a8bb208412,менеджер организаций и администратор,36,правая,женщина,русский/украинский,магистратура
9cc90fa6-10c0-44c3-baeb-03ecf866ed57,экономист,41,правая,мужчина,русский,аспирантура
c208a345-ffab-48ea-97a2-06161dadca85,водитель,51,правая,мужчина,русский,специалитет
62d9fd0a-e68c-42f5-b15d-ec9ea48e2af7,акушер,26,правая,женщина,русский украинский английский,бакалавриат
9c3e79cd-4df4-4ec4-9c85-f6abc525debc,врач,28,правая,женщина,русский,бакалавриат
296f7f4f-01eb-4596-98d8-52e665d590af,-,20,правая,женщина,"русский, латышский",средняя школа
8bf6fe93-42fe-4bea-8445-6fc4806b5380,тренер,26,правая,мужчина,Русский,специалитет
fdd565a0-d4c5-4698-89b5-574110ca26a9,преподаватель,42,правая,женщина,русский,специалитет
ebcac775-0a58-4e97-be7f-41001faaf7ce,кабельщик,26,правая,мужчина,русский,специалитет
2357a0ea-f051-41e9-a0e0-9280ffdec369,юрист,28,правая,женщина,украинский,магистратура
450dedb5-3833-41d5-9c97-99e0d1a252d6,переводчик,34,правая,женщина,русский,специалитет
f86070d3-8a72-4cde-b4b5-452612e9967c,менеджер,23,правая,женщина,русский,бакалавриат
05af59d8-62d5-4452-83ea-32429244ee42,преподаватель,29,правая,женщина,"русский, украинский",магистратура
324ef1a4-5a40-4d26-a26c-6262a95cde15,Инженер,22,правая,мужчина,Русский,бакалавриат
8c13af2b-c135-4a15-8fb5-6fd470d71e53,преподаватель,43,правая,мужчина,"кыргызский, русский",магистратура
a3bb06b7-1ee4-4990-8ae0-e1efed26988a,юрист,34,правая,женщина,русский,специалитет
b58dec74-48fb-425b-a357-4127abc6115a,специалист гостиничного дела и туризма,42,правая,женщина,русский,специалитет
2395ef48-b58f-4223-b7d6-af4b5b5c0e4d,парикмахер,19,правая,женщина,"украинский, русский",школа
600b7c97-77f5-4579-a4aa-65fe2ea74641,Студент,21,левая,мужчина,Русский,школа
8333ea30-5a86-4ead-a7e2-3bd2eb4cfc77,инженер,41,правая,мужчина,русский,аспирантура
d51d77f0-fd3e-4b3e-9ce6-db4da07bb399,экономист,27,правая,женщина,русский,специалитет
4932042d-aeba-4bef-bdda-5bef35110a20,Безработный,23,левая,женщина,Русский,школа
392ecd60-1b66-4cda-a7d3-557c5da137bc,Продавец,36,правая,женщина,Русский,средняя школа
54cfbbc6-c562-453d-aa59-3f784d8df054,инженер,37,правая,женщина,русский,специалитет
